"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2018-03-23,450,464.75,450,461.600006,936292,461.600006
2018-03-26,461,467,456.649994,465.049988,696905,465.049988
2018-03-27,467.799988,488.799988,467.799988,477.200012,1464457,477.200012
2018-03-28,476.899994,490,466.149994,479.850006,2361632,479.850006
2018-04-02,479.850006,487.5,475,484.649994,1791136,484.649994
2018-04-03,480.600006,487,479.899994,484.75,579155,484.75
2018-04-04,486.450012,499.950012,486,489.149994,1491424,489.149994
2018-04-05,498.799988,498.799988,492,496.5,1257116,496.5
2018-04-06,496.5,502.450012,493.049988,494.100006,554890,494.100006
2018-04-09,495.25,503,492.799988,496.049988,1255675,496.049988
2018-04-10,496.5,502.850006,494.350006,501,1584810,501
2018-04-11,505,510,500.549988,505.049988,955560,505.049988
2018-04-12,505.399994,506.850006,498.049988,499.950012,425131,499.950012
2018-04-13,505,505,496.899994,501.399994,761212,501.399994
2018-04-16,498.950012,512.25,498.75,510,549654,510
2018-04-17,514.900024,515.200012,508.5,512.650024,454736,512.650024
2018-04-18,513,514.849976,506.149994,510.049988,311527,510.049988
2018-04-19,512,512.5,507.5,508.899994,482877,508.899994
2018-04-20,508,509.299988,501,507.350006,304662,507.350006
2018-04-23,508,510.5,501.100006,502.450012,556274,502.450012
2018-04-24,502.950012,513,502.950012,511.649994,822689,511.649994
2018-04-25,511.100006,524.75,508.799988,521.099976,1444717,521.099976
2018-04-26,522.900024,524,514.75,520.349976,1091594,520.349976
2018-04-27,526.299988,545,526.299988,537.650024,3687851,537.650024
2018-04-30,541,541.799988,525.900024,530.549988,3428458,530.549988
2018-05-02,529.799988,529.799988,513.200012,518.349976,1594732,518.349976
2018-05-03,516.700012,526,509,520.549988,1645532,520.549988
